Player Name,Mat,Inn,NO,Runs,HS,Ave,Balls,SR,100,50,0,4s,6s
Mohammad Sharif,7,4,1,32,21,10.67,5.4,94.12,0,0,0,2,0
Shuvagata Hom,9,6,0,31,13,5.17,5.5,88.57,0,0,1,2,1
Abul Hasan,6,5,0,30,13,6,5.4,88.24,0,0,1,1,1
Kieron Pollard,2,2,0,27,18,13.5,4.3,100,0,0,0,3,0
Dimitri Mascarenhas,3,2,1,25,19,25,3.0,138.89,0,0,0,1,2
Abdur Razzak,11,5,1,25,14,6.25,5.1,80.65,0,0,1,2,0
Naeem Islam jnr,10,5,0,24,9,4.8,6.0,66.67,0,0,1,1,0
Farhad Hossain,4,4,2,22,11,11,5.4,64.71,0,0,0,2,0
Monir Hossain,13,5,3,21,14,10.5,4.0,87.5,0,0,0,3,0
Mahmudul Hasan,2,1,0,20,20,20,3.5,86.96,0,0,0,2,0
Mosharraf Hossain,12,5,4,20,16,20,5.3,60.61,0,0,0,0,0
Sulieman Benn,3,3,2,19,15,19,3.0,105.56,0,0,0,2,1
Mahbubul Alam,3,2,1,19,13,19,1.3,211.11,0,0,0,1,2
Dolar Mahmud,3,3,1,17,8,8.5,2.4,106.25,0,0,0,2,0
Krishmar Santokie,3,2,0,16,8,8,2.0,133.33,0,0,0,1,1
Fidel Edwards,9,5,1,16,7,4,4.2,61.54,0,0,1,1,0
Isuru Udana,3,3,2,15,7,15,2.1,115.38,0,0,0,2,0
Nazmul Islam,12,5,5,14,8,0,2.1,107.69,0,0,0,2,0
Arafat Sunny,12,3,1,14,7,7,2.3,93.33,0,0,1,1,0
Sanjamul Islam,11,5,3,14,4,7,2.4,87.5,0,0,0,0,0
Imtiaz Hossain,1,1,0,13,13,13,1.5,118.18,0,0,0,3,0
Aftab Ahmed,2,2,0,11,9,5.5,3.0,61.11,0,0,0,0,0
Taijul Islam,9,4,2,11,6,5.5,3.1,57.89,0,0,1,0,0
Mehdi Hasan,1,1,0,9,9,9,1.4,90,0,0,0,1,0
Mizanur Rahman,1,1,0,8,8,8,1.3,88.89,0,0,0,0,1
Alauddin Babu,3,2,0,8,5,4,2.1,61.54,0,0,0,0,0
Shahadat Hossain,2,1,1,7,7,0,0.5,140,0,0,0,1,0
Kaushal Lokuarachchi,4,2,0,7,5,3.5,1.5,63.64,0,0,0,1,0
Enamul Haque jnr,15,4,1,7,3,2.33,1.5,63.64,0,0,1,0,0
Shehan Jayasuriya,1,1,0,5,5,5,1.1,71.43,0,0,0,0,0
Samiullah Shenwari,2,2,0,5,3,2.5,1.0,83.33,0,0,0,0,0
Bishawnath Halder,7,1,1,4,4,0,0.5,80,0,0,0,0,0
Hamid Hassan,4,2,0,4,2,2,1.2,50,0,0,0,0,0
Samuel Badree,3,2,1,3,2,3,1.3,33.33,0,0,0,0,0
Dilhara Lokuhettige,1,1,0,2,2,2,0.3,66.67,0,0,0,0,0
Amit Kumar,5,1,0,2,2,2,0.2,100,0,0,0,0,0
Jashimuddin,1,1,0,2,2,2,0.4,50,0,0,0,0,0
Taposh Ghosh,6,2,1,2,1,2,0.5,40,0,0,0,0,0
Raqibul Hasan,4,2,1,1,1,1,0.1,100,0,0,1,0,0
Shapoor Zadran,8,4,3,1,1,1,1.5,9.09,0,0,0,0,0
Litton Das,1,1,0,1,1,1,0.2,50,0,0,0,0,0
Rubel Hossain,11,3,1,1,1,0.5,0.4,25,0,0,2,0,0
Shaun Tait,7,3,3,1,1,0,0.2,50,0,0,0,0,0
Ahmed Shehzad,12,12,2,486,113,48.6,52.0,155.77,1,4,1,46,25
Imran Nazir,11,11,1,390,75,39,41.4,156,0,4,0,38,18
Kamran Akmal,10,10,1,356,82,39.56,41.1,144.13,0,5,1,43,16
Dwayne Smith,11,11,3,346,103,43.25,42.0,137.3,1,2,1,22,20
Brad Hodge,12,11,3,346,70,43.25,43.5,131.56,0,3,2,30,18
Nasir Jamshed,10,10,2,328,86,41,41.2,132.26,0,3,1,32,10
