Player,Mat,Inn,Overs,Mdns,Runs,Wkts,Ave,Econ,4w,5w,SR
Nikita Miller,9,9,34,0,210,2,105,6.18,0,0,102
Andrew Richardson,1,1,3,0,20,1,20,6.67,0,0,18
Narsingh Deonarine,3,1,3,0,20,1,20,6.67,0,0,18
Yannic Cariah,2,1,3,0,23,1,23,7.67,0,0,18
Keon Peters,1,1,2,0,26,1,26,13,0,0,12
Nelon Pascal,2,2,5,0,60,1,60,12,0,0,30
Dave Mohammed,4,3,6.5,0,45,1,45,7.71,0,0,35
James Franklin,9,5,11,0,106,1,106,9.64,0,0,66
Sunil Narine,5,5,20,1,106,12,8.83,5.3,1,0,10
Aizaz Cheema,6,6,20,0,176,11,16,8.8,0,0,10.91
Ashish Nehra,5,5,19,0,153,10,15.3,8.05,1,0,11.4
